source,hypothesis,reference
"In Canada, economic growth is forecast to slow from 2.8 per cent in 2006 to 2.4 per cent in 2007.","Dans le Canada, la croissance économique devrait ralentir, passant de 2,8 % en 2006 à 2,4 % en 2007.","Quant à la croissance économique canadienne, elle devrait passer de 2,8 % en 2006 à 2,4 % en 2007."
Thomas Mann Consideration of working document,Thomas Mann Examen du document de travail,Thomas Mann Examen d'un document de travail
It is also held responsible for shortcomings in supervision or control.,Il est également tenu responsable des erreurs de supervision ou de contrôle.,Les défauts de surveillance ou de contrôle relèvent aussi de cette responsabilité.
• Appendix 3 - Sampling Site Datasheets,• Annexe 3 - Feuilles de données des sites d'échantillonnage,• Annexe 3 - Fiches d'informations sur les sites d'échantillonnage
"Submission from Roland Bernier received on September 16, 2001 via e-mail Subject:",Suggestion de Roland Bernier reçue le 16 septembre 2001 par courriel Objet :,Suggestion de Roland Bernier reçue le 16 septembre 2001 par courriel Objet :
"Later, the group of very old vehicles will become the largest.","Une fois la catégorie de véhicules très anciens, la plus grande sera celle des véhicules les plus récents.","Ultérieurement, le groupe des très vieilles voitures deviendra le plus important."
29 Letters Patent granting Armorial Bearings to the Association des Séguin d'Amérique,29 Lettres patentes concédant des emblèmes héraldiques à l'Association des Séguin d'Amérique,29 Lettres patentes concédant des emblèmes héraldiques à l'Association des Séguin d'Amérique
"Revenues increased one per cent to C$1,927 million.",Les recettes ont augmenté de 1 % pour atteindre 1 927 millions de dollars canadiens.,"Produits d’exploitation de 1 927 millions de dollars canadiens, en hausse de un pour cent."
# of education support events involved in,# d’événements d’appui à l’éducation organisés dans,Pourcentage d’employés ayant reçu une formation en matière de diversité
The cumulative incidence of infection rises with time.,L’incidence cumulative de l’infection augmente avec le temps.,L'incidence cumulative de l'infection augmente avec le temps.
Each payment will be preceded by an audit of that investment.,Chacune des paiements sera suivie d’une vérification de l’investissement en question.,Chaque paiement sera précédé d'une vérification de l'investissement.
"The administrative work was left entirely to the company, however.",La société a toutefois pris en charge tous les travaux administratifs.,"Toutefois, les travaux administratifs ont été entièrement laissés à la société."
"We start first by testing whether each of the variables hi,t and ri,t is stationary.","Nous commençons par tester si chacune des variables hi,t et ri,t est stationnaire.","Nous commençons d’abord par tester si chacune des variables hi,t et ri,t est stationnaire."
E/CN.6/2008/CRP.3 13 November 2007 Original:,E/CN.6/2008/CRP.3 13 novembre 2007 Version originale :,E/CN.6/2008/CRP.3 13 novembre 2007 Français Original : anglais
Molecular activity of prion protein oligomers in health and diseases,A role for the oligomeric state in the molecular activity of prion protein,Olfactory ensheathing cell-induced mechanisms of regeneration
"Such efforts were still called for in 2003, although progress had been made.","Cette nécessité s’est encore renforcée en 2003, bien que le progrès ait été fait.","Cet effort reste d'actualité en 2003, même si des progrès ont été réalisés."
• United Nations Environment Programme (UNEP),• Programme des Nations Unies pour l'environnement (PNUD),• Programme des Nations Unies pour l’environnement (PNUE) (En anglais seulement)
"Admiral Digby Museum Digby , Nova Scotia Tourism Region:",Admiral Digby Museum Digby (Nouvelle-Écosse) Région touristique :,Admiral Digby Museum Digby (Nouvelle-Écosse) Région touristique :
It will come together about two years later without the Celluland partnership.,Cela s'effectuera deux ans plus tard sans la collaboration Celluland.,"Il se concrétisera environ deux ans plus tard, sans le partenariat de Celluland."
It is the heir who is now reassembling them.,C'est l'héritier qui est maintenant à la charge de les réassembler.,C'est maintenant que l'héritier les reconstitue.
◦ not recording certain transactions;,◦ non pas enregistrer certaines transactions;,◦ omission d'inscrire certaines opérations;
Being a physician is not a guarantee of safety.,La pratique de la médecine n'est pas une garantie de sécurité.,Être médecin n’est pas une garantie de sécurité.
" In late 1994, the B.C. Utilities Commission completes its report."," En novembre 1994, la Commission de la distribution de l'électricité de la Colombie-Britannique termine son rapport.", La Utilities Commission termine son rapport à la fin de 1994.
• the Statement of Qualifications for the position;,• l'énoncé de qualités du poste;,• l'énoncé des qualités pour le poste;
The Canadian 6 Opening Doors to the World:,Les Canadiens 6 Ouverture sur le monde :,Les pays participants ont effectué leurs premières réductions tarifaires le 1er juillet 1997.
Go to Question 5 of Employee Questionnaire (EL) Go to Question D,Passer à la question 5 du questionnaire de l’employé (EL) Passer à la question D,Passez à la question D
• businesses interested in the number of high-income earners; and,• les entreprises intéressées au nombre d'individus à revenu élevé;,• des entreprises qui s'intéressent au nombre de travailleurs à revenu élevé;
Ice thickness tests will reveal these conditions.,On peut s’en faire la main grâce à des tests de la couche de glace.,Les vérifications de l'épaisseur de la glace permettront de déceler ces situations.
Competencies identified by three of the four groups were:,Trois des quatre groupes ont établi les compétences suivantes :,Voici quelles sont les compétences identifiées par trois des quatre groupes :
"In turn, decision makers need to take these factors into account in reaching decisions.","En retour, les décideurs doivent tenir compte de ces facteurs dans leurs décisions.","En retour, les décideurs doivent tenir compte de ces facteurs en prenant des décisions."
• periodically assess the adequacy of organizational arrangements and their fulfillment,• évaluer périodiquement l'efficacité des mesures de l'organisation et leur mise en oeuvre.,• évaluer périodiquement l'adéquation des dispositions organisationnelles et leur respect
"People who support ""gay marriages"" although are not gay, even if they are....","Les gens qui appuient les « mariages gays » bien que ne soient pas gays, même si....","Les gens qui appuient le « mariage gai », même s'ils ne sont pas gais."
These products are included as items 1 and 2 of Part II of Schedule I to the HPA).,"Ces produits sont inclus à la partie II, aux points 1 et 2, de l'annexe I de l'ANP).",Ces produits sont énumérés dans les articles 1 et 2 de la partie II de l'annexe I de la LPD).
